Sponsor name (parent entity) - click here for explanation,Sponsor name (subsidiary / affiliate entity - if any) - click here for explanation,Tournament / Sport Organisation Name,Sport
Aramco,Direct sponsorship,2023 WWE Crown Jewel,Wrestling
Aramco,Direct sponsorship,Al-Qadsiah (Ownership),Football
Aramco,Direct sponsorship,Aramco Saudi Ladies International,Golf
Aramco,Direct sponsorship,Aramco Team Series,Golf
Aramco,Direct sponsorship,Asian Development Tour,Golf
Aramco,Direct sponsorship,Aston Martin Aramco Cognizant F1 Team,Motorsport
Aramco,Direct sponsorship,Chinese Basketball Association,Basketball
Aramco,Direct sponsorship,Dakar Rally,Motorsport
Aramco,Direct sponsorship,Diriyah Season,Multisport
Aramco,Direct sponsorship,Diriyah Tennis Cup,Tennis
Aramco,Direct sponsorship,Formula 1,Motorsport
Aramco,Direct sponsorship,Formula 1 Esports,Esports
Aramco,Direct sponsorship,Formula 2,Motorsport
Aramco,Direct sponsorship,Formula 3,Motorsport
Aramco,Direct sponsorship,Gamers Without Borders,Esports
Aramco,Direct sponsorship,Gamers8,Esports
Aramco,Direct sponsorship,ICC T20 World Cup,Cricket
Aramco,Direct sponsorship,Indian Premier League,Cricket
Aramco,Direct sponsorship,International Cricket Council,Cricket
Aramco,Direct sponsorship,PIF Saudi International,Golf
Aramco,Direct sponsorship,Riyadh Season,Multisport
Aramco,Direct sponsorship,Tyson Fury vs. Francis Ngannou,Boxing
Aramco,Sabic,2023 Riyadh Marathon,Athletics
Aramco,Sabic,2023 SABIC Berlin E-Prix,Motorsport
Aramco,Sabic,Formula E,Motorsport
Aramco,Sabic,PIF Saudi International,Golf
Asdeqa,Direct sponsorship,Saudi Pro League,Football
Dr Sulaiman Al-Habib Medical Group,Direct sponsorship,2023 Saudi Games,Multisport
Dr Sulaiman Al-Habib Medical Group,Direct sponsorship,2023 WWE Crown Jewel,Wrestling
Dr Sulaiman Al-Habib Medical Group,Direct sponsorship,Diriyah Season,Multisport
Dr Sulaiman Al-Habib Medical Group,Direct sponsorship,Diriyah Tennis Cup,Tennis
Dr Sulaiman Al-Habib Medical Group,Direct sponsorship,Formula 1 Saudi Arabian Grand Prix,Motorsport
Dr Sulaiman Al-Habib Medical Group,Direct sponsorship,Gamers8,Esports
Dr Sulaiman Al-Habib Medical Group,Direct sponsorship,Riyadh Masters 2023,Esports
Dr Sulaiman Al-Habib Medical Group,Direct sponsorship,Riyadh Season,Multisport
Dr Sulaiman Al-Habib Medical Group,Direct sponsorship,Saudi Cup 2023,Equestrian
Dr Sulaiman Al-Habib Medical Group,Direct sponsorship,The Saudi Cup 2023,Equestrian
Dr Sulaiman Al-Habib Medical Group,Direct sponsorship,Tyson Fury vs. Francis Ngannou,Boxing
General Entertainment Authority,Direct sponsorship,2023 Riyadh Season Tennis Cup,Tennis
General Entertainment Authority,Direct sponsorship,2023 WWE Crown Jewel,Wrestling
General Entertainment Authority,Direct sponsorship,2023 WWE Night of Champions,Wrestling
General Entertainment Authority,Direct sponsorship,2024 UFC Fight Night,MMA
General Entertainment Authority,Direct sponsorship,Riyadh Season,Multisport
General Entertainment Authority,Direct sponsorship,World Wrestling Entertainment,Wrestling
General Entertainment Authority,Riyadh Season,2023 Turkish Super Cup,Football
General Entertainment Authority,Riyadh Season,AS Roma,Football
General Entertainment Authority,Riyadh Season,Mike Tyson Boxing Club (Riyadh),Boxing
General Entertainment Authority,Riyadh Season,Tyson Fury vs. Francis Ngannou,Boxing
Golf Saudi,Direct sponsorship,Aramco Saudi Ladies International,Golf
Golf Saudi,Direct sponsorship,Aramco Team Series,Golf
Golf Saudi,Direct sponsorship,PIF Saudi International,Golf
Golf Saudi,Direct sponsorship,The PIF Saudi Open,Golf
Golf Saudi,Direct sponsorship,Wadi Safar Golf Course,Golf
Jahez Group,Direct sponsorship,2023 FIA CORE Diriyah E-Prix,Motorsport
Jahez Group,Direct sponsorship,Al-Hilal,Football
Jockey Club of Saudi Arabia,Direct sponsorship,Saudi Cup 2023,Equestrian
King Abdullah University of Science and Technology,Direct sponsorship,PIF Saudi International,Golf
King Saud University,Direct sponsorship,2023 Riyadh Marathon,Athletics
Kingdom Holding Company,Direct sponsorship,Al-Hilal,Football
Kingdom Holding Company,Direct sponsorship,Riyadh Season,Multisport
Locate,Direct sponsorship,Saudi Arabian Handball Federation,Handball
MBC Group,AlArabia,2023 World Combat Games,Multisport
Ministry of Culture,Direct sponsorship,Saudi Cup 2023,Equestrian
Ministry of Media,Direct sponsorship,2023 Saudi Toyota Championship,Motorsport
"Ministry of Municipal, Rural Affairs and Housing",Direct sponsorship,2023 Saudi Toyota Championship,Motorsport
Ministry of Sport,Direct sponsorship,2023 IHF Men's Super Globe,Handball
Ministry of Sport,Direct sponsorship,2023 Saudi Toyota Championship,Motorsport
Ministry of Sport,Direct sponsorship,2028 TAFISA World Sport for All Games,Multisport
Ministry of Sport,Direct sponsorship,37th America’s Cup pre-regatta - Jeddah,Sailing
Ministry of Sport,Direct sponsorship,Aramco Saudi Ladies International,Golf
Ministry of Sport,Direct sponsorship,Aramco Team Series,Golf
Ministry of Sport,Direct sponsorship,Diriyah Tennis Cup,Tennis
Ministry of Sport,Direct sponsorship,Formula 1 Saudi Arabian Grand Prix,Motorsport
Ministry of Sport,Direct sponsorship,Italian Super Cup,Football
Ministry of Sport,Direct sponsorship,Jake Paul vs Tommy Fury,Boxing
Ministry of Sport,Direct sponsorship,Mahd Sports Academy,Multisport
Ministry of Sport,Direct sponsorship,Next Gen ATP Finals,Tennis
Ministry of Sport,Direct sponsorship,PIF Saudi International,Golf
Ministry of Sport,Direct sponsorship,Saudi Sports for All Federation,Multisport
Ministry of Sport,Direct sponsorship,Saudi Tour 2023,Cycling
Ministry of Sport,Direct sponsorship,Spanish Super Cup,Football
Ministry of Sport,Direct sponsorship,The PIF Saudi Open,Golf
Ministry of Sport,King Abdullah Sports City,Saudi Arabian Hockey Federation,Hockey
Minstry of Sport,Direct sponsorship,2023 Riyadh Marathon,Athletics
National Events Center,Direct sponsorship,2023 Riyadh Marathon,Athletics
Public Investment Fund,Alinma Bank,Saudi Pro League,Football
Public Investment Fund,Almarai,ITTF Saudi Arabia Para Open 2023,Table Tennis
Public Investment Fund,Arabian Drilling,Saudi Arabian Triathlon Federation,Triathlon
Public Investment Fund,Boutique Group,Saudi Cup 2023,Equestrian
Public Investment Fund,Cruise Saudi,Al-Nassr (Via Aroya Cruise),Football
Public Investment Fund,Direct sponsorship,Al-Ahli (Ownership),Football
Public Investment Fund,Direct sponsorship,Al-Hilal (Ownership),Football
Public Investment Fund,Direct sponsorship,Al-Ittihad (Ownership),Football
Public Investment Fund,Direct sponsorship,Al-Nassr (Ownership),Football
Public Investment Fund,Direct sponsorship,Aramco Saudi Ladies International,Golf
Public Investment Fund,Direct sponsorship,Aramco Team Series,Golf
Public Investment Fund,Direct sponsorship,Aston Martin,Motorsport
Public Investment Fund,Direct sponsorship,LIV Golf,Golf
Public Investment Fund,Direct sponsorship,Newcastle United (Ownership),Football
Public Investment Fund,Direct sponsorship,PIF Saudi International,Golf
Public Investment Fund,Direct sponsorship,The PIF Saudi Open,Golf
Public Investment Fund,Diriyah Gate Development Authority,2023 Custodian of the Two Holy Mosques Endurance Cup,Equestrian
Public Investment Fund,Diriyah Gate Development Authority,2023 FIA CORE Diriyah E-Prix,Motorsport
Public Investment Fund,Diriyah Gate Development Authority,Diriyah Sports Club (Ownership),Football
Public Investment Fund,Diriyah Gate Development Authority,Longines Global Champions Tour,Equestrian
Public Investment Fund,Diriyah Gate Development Authority,Saudi Arabian Equestrian Federation ,Equestrian
